"circleX","circleY","clickX","clickY","dimensions__width","dimensions__height","timeTaken","displacement","radius"
"1248","323","1207","263","83","83","2.146","1289.1210183687178","41.5"
"384","387","372","380","20","20","1.554","866.3671277235766","10"
"887","540","850","508","64","64","1.331","525.754695651879","32"
"574","702","542","668","52","52","1.068","352.4386471430169","26"
"408","163","375","142","77","77","1.112","563.983155776837","38.5"
"919","540","860","482","118","118","1.063","635.0196847342609","59"
"175","39","162","32","24","24","1.599","896.9598653228583","12"
"577","726","567","719","43","43","1.577","795.9729894914776","21.5"
"969","459","952","446","34","34","1.36","474.2921040877657","17"
"792","690","768","660","72","72","1.01","291.0154635066666","36"
"736","644","701","607","55","55","0.656","72.47068372797375","27.5"
"1175","572","1137","541","69","69","1.164","444.86514810670434","34.5"
"1015","584","964","540","100","100","1.052","160.44936896105264","50"
"184","267","127","233","101","101","1.708","889.4099167425558","50.5"
"326","607","300","594","62","62","1.226","368.4616669342959","31"
"336","608","321","603","35","35","0.668","10.04987562112089","17.5"
"876","512","850","488","44","44","1.272","548.466954337269","22"
"1078","673","1025","624","87","87","0.928","258.3118270617898","43.5"
"163","563","136","552","56","56","1.308","921.5883028771578","28"
"1125","681","1101","664","59","59","1.222","969.2099875671938","29.5"
"263","314","203","289","105","105","3.277","409.59125967237145","52.5"
"1239","174","1219","159","35","35","1.203","985.9898579600097","17.5"
"146","519","121","507","51","51","0.984","1146.1561848195036","25.5"
"86","72","74","52","50","50","1.047","451.0088690923938","25"
"439","664","421","655","27","27","1.255","689.2553953361555","13.5"
"579","514","545","487","51","51","0.734","205.1828452868319","25.5"
"488","633","410","572","108","108","0.678","149.80654191322887","54"
"945","718","910","664","92","92","0.905","464.837606051834","46"
"1202","326","1164","300","64","64","0.94","468.7355331100897","32"
"357","687","352","678","34","34","1.196","918.8830175816723","17"
"860","620","809","603","63","63","1.211","507.4426075922281","31.5"
"316","325","242","276","104","104","0.973","618.8384280246339","52"
"146","361","127","341","41","41","0.892","173.76996288196645","20.5"
"430","74","401","62","41","41","0.904","403.7635446644484","20.5"
"941","724","937","708","37","37","1.159","826.8137637944835","18.5"
"1058","683","1022","624","92","92","0.679","123.97580409095961","46"
"1235","395","1194","350","102","102","0.685","338.0428966862046","51"
"1178","473","1170","456","32","32","0.809","96.60745312862771","16"
"1113","558","1091","521","41","41","0.659","107.00467279516349","20.5"
"492","687","433","656","105","105","0.906","634.2570456841611","52.5"
"161","364","152","346","26","26","0.92","398.016331323226","13"
"981","181","963","143","55","55","0.693","840.1720061987307","27.5"
"617","632","573","585","61","61","0.581","579.5662170968905","30.5"
"1242","297","1233","279","31","31","0.961","709.1191719309245","15.5"
"285","633","248","592","100","100","0.485","1014.2706739327525","50"
"1160","303","1069","253","105","105","0.706","935.1604140467025","52.5"
"1131","718","1108","694","46","46","0.785","416.01201905714214","23"
"730","436","701","403","55","55","0.864","490.2295380737477","27.5"
"262","481","215","421","109","109","0.607","470.15848391792315","54.5"
"340","153","314","140","40","40","1.256","337.146852276571","20"
"1101","269","1035","219","103","103","0.688","769.7902311669069","51.5"
"471","408","444","384","44","44","0.766","645.1519200932444","22"
"447","147","399","118","81","81","0.648","262.1011255221923","40.5"
"796","716","731","665","101","101","0.664","667.5043071022089","50.5"
"531","175","499","133","53","53","0.769","602.4167992345499","26.5"
"730","698","662","644","96","96","0.735","559.580199792666","48"
"935","476","876","416","100","100","0.862","302.1737910540886","50"
"913","271","904","268","24","24","0.815","206.17710833164773","12"
"1122","391","1092","326","114","114","0.598","241","57"
"958","150","879","111","91","91","0.818","291.50814739900494","45.5"
"1035","431","1005","417","61","61","1.319","1121.153869903681","30.5"
"312","528","293","519","35","35","1.316","729.4778954841606","17.5"
"292","451","247","411","71","71","0.685","79.55501241279521","35.5"
"1249","175","1174","120","112","112","0.955","996.0045180620417","56"
"881","439","844","416","68","68","0.786","452.90175535098115","34"
"1095","653","1039","633","81","81","1.101","302.64170234784234","40.5"
"1153","250","1118","200","102","102","0.972","407.15230565477583","51"
"1035","507","973","453","117","117","0.724","282.7949787390151","58.5"
"654","590","581","567","99","99","0.874","389.9358921669048","49.5"
"1225","638","1185","621","105","105","0.952","573.013961435496","52.5"
"563","555","495","521","109","109","0.956","667.1828834734896","54.5"
"517","274","504","262","26","26","1.172","284.74023249270556","13"
"520","102","478","72","66","66","1.131","172.02616080119907","33"
"199","624","126","592","116","116","1.227","612.8009464744649","58"
"206","692","153","684","83","83","1.074","68.3593446428504","41.5"
"352","132","306","108","76","76","1.337","578.7192756423445","38"
"923","476","882","448","116","116","0.985","666.6160814141825","58"
"527","666","516","634","58","58","1.015","439.22203951987655","29"
"971","386","934","348","68","68","0.996","524.9152312516756","34"
"199","275","193","267","21","21","1.374","779.9391001866749","10.5"
"602","261","550","214","102","102","1.751","656.1440390645944","51"
"195","237","182","226","26","26","1.515","407.7070026379238","13"
"563","170","499","111","87","87","0.895","374.04946196993785","43.5"
"983","646","940","596","102","102","1.477","634.8039067302595","51"
"441","667","409","648","63","63","1.152","542.4066740002376","31.5"
"1127","212","1106","186","54","54","1.172","823.1773806416209","27"
"1290","439","1256","414","62","62","0.905","279.46019394539894","31"
"167","278","158","268","24","24","1.135","1134.4822607692022","12"
"278","725","261","713","21","21","1.34","460.575726672607","10.5"
"1089","111","1078","104","24","24","1.331","1017.2104010478855","12"
"1282","589","1236","559","95","95","0.794","515.4929679442776","47.5"
"438","319","419","291","51","51","1.12","886.1354298300007","25.5"
"345","633","299","589","77","77","0.875","327.48282397707516","38.5"
"526","715","491","672","79","79","0.997","198.70832896484234","39.5"
"246","423","227","397","45","45","1.167","404.55407549547687","22.5"
"384","206","340","170","82","82","0.847","257.1633721975196","41"
"1065","659","1016","608","100","100","1.117","817.9058625538761","50"
"257","652","249","643","23","23","1.274","808.0303212132575","11.5"
"242","338","193","305","117","117","0.803","314.35807608521844","58.5"
"513","679","451","645","93","93","0.973","435.57088975274735","46.5"
"338","204","309","149","73","73","0.709","394.79108399253397","36.5"
"1262","575","1224","522","102","102","1.39","995.6992517823843","51"
"582","526","569","515","35","35","0.863","681.7631553552891","17.5"
"565","756","556","744","24","24","0.878","230.62740513651016","12"
"618","286","609","277","29","29","1.112","472.97885787844683","14.5"
"405","640","353","589","81","81","0.725","413.14041196668234","40.5"
"348","423","288","372","116","116","0.48","224.36131573869858","58"
"1008","379","983","365","29","29","0.794","661.4650406484079","14.5"
"1062","226","1035","174","93","93","0.831","162.24980739587951","46.5"
"407","117","392","76","68","68","0.881","664.0075300777846","34"
"1294","724","1278","720","26","26","1.587","1074.8106810038687","13"
"510","469","503","465","21","21","1.159","824.427680272806","10.5"
"1197","292","1178","268","32","32","1.092","709.4349864504851","16"
"90","740","75","735","23","23","1.178","1194.2164795379438","11.5"
"720","342","641","275","99","99","0.662","745.1872247965608","49.5"
"793","389","759","359","59","59","0.664","86.82165628459296","29.5"
"1119","146","1045","106","93","93","0.703","406.6017707782395","46.5"
"1234","224","1207","181","93","93","0.621","138.95682782792647","46.5"
"1345","564","1332","557","21","21","1.292","357.66045350303966","10.5"
"369","247","344","206","98","98","0.978","1026.189553640067","49"
"824","693","797","635","111","111","0.944","1076.6731165957474","55.5"
"252","592","215","571","55","55","0.899","580.8485172572966","27.5"
"369","444","339","403","71","71","0.659","188.66107176627614","35.5"
"752","682","708","644","114","114","0.747","450.9246056715025","57"
"316","684","294","664","36","36","0.896","436.0045871318328","18"
"1145","262","1097","233","81","81","0.797","930.2284665607691","40.5"
"940","740","918","724","30","30","0.998","520.1047971322703","15"
"314","613","274","582","62","62","0.792","638.7526907966807","31"
"1000","647","957","596","117","117","0.766","686.842048800159","58.5"
"230","740","209","723","35","35","0.97","775.5958999375899","17.5"
"956","634","943","613","41","41","0.949","733.6974853439257","20.5"
"820","288","766","222","110","110","0.72","371.7687453242943","55"
"778","277","771","259","32","32","0.623","43.41658669218482","16"
"575","210","566","204","20","20","0.798","213.77090541044166","10"
"733","379","697","343","79","79","0.582","231.3547060251855","39.5"
"391","521","378","510","26","26","1.078","370.3079799302197","13"
"562","547","539","507","99","99","0.547","172.96531444194238","49.5"
"1256","407","1206","381","97","97","0.811","707.9802257125548","48.5"
"771","188","758","170","30","30","0.843","532.1522338579441","15"
"1213","362","1195","337","41","41","0.981","475.015789211264","20.5"
"1198","412","1168","354","98","98","1.347","1266.865423002775","49"
"405","606","381","573","61","61","1.017","816.3853256887951","30.5"
"330","614","270","600","104","104","0.561","75.4254598925323","52"
"922","692","909","661","45","45","0.832","597.1164040620556","22.5"
"127","485","102","443","87","87","0.8","821.5071515209104","43.5"
"156","329","137","279","79","79","0.817","158.67261893597143","39.5"
"218","334","157","247","111","111","0.581","62.20128616033595","55.5"
"65","487","50","477","29","29","1.11","216.37467504308356","14.5"
"291","184","246","128","100","100","0.676","378.00132274900835","50"
"1149","177","1123","165","37","37","1.027","858.0285543034101","18.5"
"86","701","68","688","42","42","1.16","1185.1350134056456","21"
"1327","594","1282","553","65","65","0.876","1245.6042710267175","32.5"
"361","539","339","505","49","49","1.081","967.5644681363615","24.5"
"693","136","637","99","83","83","0.749","522.1427008012273","41.5"
"140","132","119","119","59","59","0.901","553.0144663568938","29.5"
"752","541","729","513","45","45","1.033","736.087630652764","22.5"
"929","623","919","591","43","43","0.673","195.0717816599828","21.5"
"1148","364","1093","309","113","113","0.711","339.17841912480225","56.5"
"113","114","92","94","58","58","0.978","1064.7652323399745","29"
"361","629","342","604","32","32","0.842","571.6021343557072","16"
"616","358","612","342","34","34","1.13","712.4745609493717","17"
"663","610","644","590","34","34","1.104","256.3454700204394","17"
"316","344","296","326","42","42","0.932","437.2241987813575","21"
"531","497","490","460","64","64","0.648","263.8825496314601","32"
"245","683","209","660","61","61","0.785","341.1627177755506","30.5"
"348","287","318","244","60","60","1.034","409.1760012512953","30"
"288","537","239","481","101","101","0.618","257.0992026436488","50.5"
"168","367","95","319","87","87","0.651","208.08652046684813","43.5"
"334","261","295","179","103","103","0.867","196.95684806576287","51.5"
"271","464","228","442","102","102","0.519","212.55117030964567","51"
"920","634","844","564","114","114","0.787","670.8956699815553","57"
"311","255","259","213","85","85","0.844","717.3018890258131","42.5"
"1183","499","1179","475","47","47","1.249","905.4943401258785","23.5"
"664","173","656","152","36","36","1.055","612.8923233325736","18"
"620","507","575","457","113","113","0.747","336.88573730569243","56.5"
"344","635","318","604","60","60","0.89","304.2367499169027","30"
"95","604","70","586","46","46","0.873","250.9222987301049","23"
"627","236","587","157","113","113","0.876","646.8755676326012","56.5"
"827","189","808","144","80","80","0.736","205.44829033116824","40"
"802","452","780","420","64","64","1.162","264.18554086096384","32"
"806","385","765","309","105","105","0.922","893.2306533029417","52.5"
"344","487","315","455","71","71","0.97","473.12577608919173","35.5"
"1117","219","1094","204","52","52","1.094","818.1399635759153","26"
"486","606","457","587","107","107","0.905","740.2229393905595","53.5"
"831","590","805","551","71","71","0.887","345.37081521170836","35.5"
"1126","106","1103","101","25","25","1.826","566.816548805696","12.5"
"432","116","398","90","62","62","1.323","694.0720423702427","31"
"1296","677","1244","592","92","92","1.079","1030.153872001654","46"
"126","464","110","431","75","75","1.196","1189.2304234251662","37.5"
"897","44","886","36","26","26","1.156","877.9755121869857","13"
"117","441","80","402","70","70","1.418","875.2194010646701","35"
"1098","383","1072","336","72","72","1.099","982.7130812195388","36"
"212","53","202","42","22","22","1.178","945.4607342454789","11"
"576","547","562","536","24","24","1.543","613.6220335027092","12"
"1129","753","1117","736","21","21","1.367","590.1228685621326","10.5"
"214","473","152","428","92","92","1.247","956.8829604502318","46"
"481","427","452","400","56","56","1.778","270.9335711941213","28"
"241","292","215","259","67","67","1.025","275.3633962602873","33.5"
"160","215","132","177","93","93","0.666","111.75866856758807","46.5"
"119","174","103","157","33","33","1.066","57.982756057296896","16.5"
"825","414","809","387","43","43","1.54","923.0498361410396","21.5"
"228","116","202","68","64","64","1.258","667.2428343564283","32"
"995","424","974","390","90","90","1.134","826.5307011841726","45"
"663","701","626","654","82","82","1.277","432.3806193621541","41"
"914","288","874","224","112","112","1.053","483.2908027264744","56"
"1239","171","1227","147","67","67","1.003","345.418586645247","33.5"
"714","712","657","651","95","95","1.25","753.8607298433843","47.5"
"1192","73","1173","58","39","39","1.279","798.00062656617","19.5"
"514","623","485","580","103","103","1.078","873.0315000044386","51.5"
"707","654","673","637","89","89","0.882","195.47378340841516","44.5"
"523","385","471","345","77","77","1.334","325.909496639788","38.5"
"1179","395","1166","364","60","60","1.116","656.0762150848025","30"
"257","662","168","600","119","119","1.073","959.8817635521575","59.5"
"1195","604","1150","568","118","118","0.991","939.791466230674","59"
"447","462","425","431","67","67","1.18","761.3593107068436","33.5"
"996","536","988","520","24","24","1.267","553.9648003257969","12"
"978","193","934","116","106","106","0.925","343.4719784785944","53"
"510","481","477","457","53","53","1.052","549.5161508090549","26.5"
"632","573","607","557","41","41","0.825","152.80052355931247","20.5"
"721","350","713","345","33","33","0.833","240.10414407085938","16.5"
