"circleX","circleY","clickX","clickY","dimensions__width","dimensions__height","timeTaken","displacement","radius"
"770","714","736","684","62","62","1.535","1050.0933291855538","31"
"839","493","826","478","26","26","0.912","231.52105735764079","13"
"985","232","930","180","112","112","0.706","299.06019460971396","56"
"1053","557","1027","555","42","42","0.918","332.03764846776033","21"
"872","185","813","129","109","109","0.781","413.69674883905","54.5"
"1107","146","1063","98","93","93","0.662","238.21418933388497","46.5"
"1345","123","1322","108","44","44","0.729","239.10876186371758","22"
"505","100","469","82","61","61","0.804","840.3148219566283","30.5"
"338","657","295","597","81","81","0.733","581.496345646299","40.5"
"196","620","136","576","92","92","0.677","146.74126890551273","46"
"731","548","703","515","63","63","0.696","539.8231191788658","31.5"
"364","469","344","454","30","30","0.851","375.40644640176333","15"
"1154","418","1140","398","38","38","0.812","791.6444909174825","19"
"308","172","269","106","99","99","0.807","881.0402941977171","49.5"
"177","701","132","628","116","116","0.711","544.978898674068","58"
"1152","623","1087","583","103","103","0.781","978.1150239107873","51.5"
"354","375","330","348","64","64","0.764","835.6482513593862","32"
"169","700","138","636","83","83","0.743","373.9652390263031","41.5"
"1009","293","997","281","25","25","0.899","933.4071994579857","12.5"
"285","378","240","318","102","102","0.745","728.972564641496","51"
"503","671","488","654","30","30","14.268","838.6000238492722","15"
"1223","636","1202","616","36","36","1.324","720.850192481073","18"
"1073","346","1059","329","65","65","0.864","326.49655434629017","32.5"
"1319","270","1302","237","37","37","0.923","257.47232861028","18.5"
"120","162","78","125","53","53","1.072","1203.8542270557512","26.5"
"953","431","924","416","40","40","1.009","875.3570700005798","20"
"968","220","912","168","114","114","0.686","211.53250341259616","57"
"728","185","698","156","68","68","0.728","242.53865671269807","34"
"649","133","638","132","36","36","0.716","94.57801012920498","18"
"1170","714","1098","668","92","92","1.764","780.3858020235889","46"
"775","361","722","328","100","100","0.737","529.7489971675265","50"
"858","165","831","135","51","51","0.754","212.8497122384712","25.5"
"332","638","250","600","88","88","3.073","707.3931014648078","44"
"612","645","571","612","85","85","0.707","280.08748633239577","42.5"
"800","586","784","576","24","24","0.741","197.0406049523803","12"
"203","690","124","636","98","98","0.855","605.9909240244444","49"
"825","98","784","82","62","62","0.828","858.6896994840453","31"
"1247","688","1241","679","35","35","3.327","725.3854147968513","17.5"
"302","684","277","669","33","33","1.024","945.0084655705472","16.5"
"362","675","305","624","99","99","0.643","60.67124524847005","49.5"
